"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000213809.9",13.9708289464095,-2.63227216669403,0.68484461659509,-3.84360496221926,0.000121240109872328,0.0176488196110425
"ENSG00000220412.1",9.68508874944728,-2.68766273406673,0.706038863022359,-3.80667817995398,0.00014084582923038,0.0190818208343951
"ENSG00000221968.9",1030.52210820549,-1.29811542981002,0.375943866833561,-3.45295014583847,0.000554491470513164,0.0388101485256618
"ENSG00000222057.1",4.60999435951147,-2.62181948666771,0.690110004378546,-3.79913270352991,0.000145203332273416,0.0194459675879324
"ENSG00000223534.1",44.3816702510219,-2.29835099737441,0.691308829272149,-3.3246371231715,0.000885336847419519,0.0493462596809164
"ENSG00000223668.1",13.4617873376444,-3.13383669022367,0.531885410403471,-5.89193955864749,3.81688795030687e-09,1.49223960765783e-05
"ENSG00000224137.1",48.1122408039274,-3.0193914329245,0.87689690673141,-3.44326842727629,0.00057472856038682,0.0392908253404721
"ENSG00000225342.2",19.8163938929403,-1.91017821049672,0.504357609162504,-3.78734884890228,0.000152263253814525,0.0196344061631927
"ENSG00000225411.3",3.06812078098159,-3.06313440125652,0.681568767917596,-4.49424114695769,6.98184739362813e-06,0.00347404032038947
"ENSG00000226239.2",10.3354319174344,-2.61386216965932,0.561521107076098,-4.65496690457459,3.24032751276453e-06,0.00233363271162702
"ENSG00000226491.1",15.8679792854671,-1.60893208187234,0.432390193674575,-3.72101889776726,0.000198420587617845,0.0225018283517077
"ENSG00000226985.7",3.45279555333376,-2.82199025997848,0.711137732344846,-3.96827524630635,7.23946897323497e-05,0.0131041038198145
"ENSG00000227155.7",14.1755131618104,-2.00676351281178,0.585483242103095,-3.42753364827891,0.00060909081441291,0.0403607465327799
"ENSG00000227191.8",49.2581724128958,-2.37606621244846,0.667622453461447,-3.55899685537714,0.000372273988535477,0.0319372936070212
"ENSG00000227467.3",15.934951843352,-2.60723968364785,0.651873511028805,-3.99960980088458,6.34470060828992e-05,0.0120776372692704
"ENSG00000228486.10",83.0419434191522,-1.71266282587335,0.411810054880774,-4.15886597613358,3.19831479481816e-05,0.00884124050401906
"ENSG00000228835.1",2.46572301771523,-4.80997282418662,1.25966659746523,-3.8184491307982,0.000134293268280595,0.0185166360562109
"ENSG00000229029.2",3.85393068991582,-2.22929301757965,0.599222387930715,-3.72030995917564,0.000198978421497178,0.0225018283517077
"ENSG00000229140.11",6.22476211085503,-3.20627868821675,0.632493235684005,-5.06926953100036,3.9934537360704e-07,0.000546958651610882
"ENSG00000231369.1",5.22217216978866,-1.25715852690427,0.341358614239723,-3.68280885397964,0.000230678127937469,0.0247999370544416
"ENSG00000232587.1",7.31974377616639,-1.48468331770344,0.427506510345509,-3.47289054499667,0.000514885291349377,0.0374045907007621
"ENSG00000233143.2",12.2662460422285,-2.66819131826922,0.512661159612452,-5.2045903385508,1.94425026286881e-07,0.000343168862222397
"ENSG00000233665.8",5.8298181233811,-3.05357354274473,0.829533805889561,-3.6810718515205,0.00023225553756803,0.0247999370544416
"ENSG00000234750.1",6.71659522860689,-2.13338463193597,0.538605323111444,-3.96094234570821,7.46545581799154e-05,0.0132666967124009
"ENSG00000234883.6",64.6386697247172,-2.086039442822,0.553361189338852,-3.76976102229788,0.000163403934557094,0.0200631817227853
"ENSG00000235111.1",5.63488474695769,-2.55124591575737,0.695551398115597,-3.66794736186177,0.000244505503462657,0.0253551768972851
"ENSG00000235505.7",153.156695806879,-1.84305266919984,0.448465961098214,-4.10968240418186,3.96203651861146e-05,0.0100995926139341
"ENSG00000236876.3",7.20963278618801,-1.69248788111601,0.471612377988646,-3.58872659011667,0.000332297106950412,0.0303132497530398
"ENSG00000236901.6",190.346135231356,-2.05897279139306,0.603031007534524,-3.41437300183139,0.000639289892160885,0.04126284546879
"ENSG00000237484.6",14.8330010005669,-2.69464663279214,0.624186238497204,-4.31705549817919,1.5812441137021e-05,0.00567955858901884
"ENSG00000237757.2",5.38377261691709,-1.88743346027536,0.364241332120701,-5.18182120981787,2.19729788588557e-07,0.000353726183782532
"ENSG00000237928.6",33.4927884045454,-2.5285103952864,0.639537709155233,-3.95365333285244,7.69669014468014e-05,0.0135022640506065
